Film,Film Länge (Min),Sektion,Sprache,Untertitel,Screening Count,Has Evening/Weekend Screening,Screenings,IMDb Rating,IMDb Votes,Director,Stars,Genre,First Release Year,Plot,Awards,IMDb Search Link
DE RäGEBOGEFISCH,70.0,ZFF für Kinder,Schweizerdeutsch,,3,Yes,03.10.2026 11:00-12:40 @ Corso 1 | 03.10.2026 16:15-17:40 @ Corso 2 | 04.10.2026 10:15-11:50 @ KINOKONI 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=DE%20R%C3%A4GEBOGEFISCH&s=tt
DIE BLUTGRäFIN,119.0,Signatures,"Deutsch, Frazösisch",,3,Yes,02.10.2026 18:15-20:39 @ Corso 2 | 03.10.2026 15:15-17:39 @ Corso 4 | 26.09.2026 18:00-20:24 @ KINOKONI 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=DIE%20BLUTGR%C3%A4FIN&s=tt
DIE ZUKUNFT IST VERGANGENHEIT,99.0,Sounds,"Schweizerdeutsch, Deutsch, Englisch",,3,Yes,01.10.2026 20:45-22:49 @ KINOKONI 6 | 03.10.2026 20:15-22:19 @ KINOKONI 2 | 30.09.2026 21:15-23:24 @ Corso 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=DIE%20ZUKUNFT%20IST%20VERGANGENHEIT&s=tt
DOLPHINS: MY CLOSE ENCOUNTERS,80.0,Gala Premieren,Englisch,"de, en",3,Yes,02.10.2026 15:30-16:55 @ Corso 2 | 28.09.2026 18:30-20:20 @ Arthouse Le Paris | 29.09.2026 14:00-15:45 @ Corso 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=DOLPHINS%3A%20MY%20CLOSE%20ENCOUNTERS&s=tt
EBJä! ADOLF WöLFLI,90.0,Signatures,"Schweizerdeutsch, Deutsch",de,3,Yes,27.09.2026 14:45-16:45 @ Arthouse Piccadilly | 28.09.2026 20:15-22:10 @ KINOKONI 2 | 30.09.2026 17:00-18:55 @ Corso 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=EBJ%C3%A4%21%20ADOLF%20W%C3%B6LFLI&s=tt
EDWARD SAID: BETWEEN WORLDS,107.0,Signatures,"Englisch, Arabisch",en,3,Yes,02.10.2026 14:30-16:22 @ KINOKONI 2 | 04.10.2026 17:45-19:37 @ Corso 3 | 27.09.2026 17:30-19:42 @ Arthouse Piccadilly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=EDWARD%20SAID%3A%20BETWEEN%20WORLDS&s=tt
ENJOY YOUR STAY,99.0,NOW/FUTURE,"Englisch, Französisch, Tagalog",de,3,Yes,03.10.2026 12:45-14:39 @ KINOKONI 1 | 26.09.2026 18:15-20:19 @ KINOKONI 1 | 28.09.2026 14:30-16:34 @ Corso 2,,33,N/A,"Mercedes Cabral, Alexis Manenti, Anna Luna",Drama,2026,"To avoid losing custody of her daughter in Manila, thirty-five-year-old Luz, an undocumented Filipino cleaner in the luxury chalets of Verbier, must pay off her debt and collect money at any cost - even if it means betraying her c...",N/A,https://www.imdb.com/find?q=ENJOY%20YOUR%20STAY&s=tt
EUROTRASH,95.0,Gala Premieren,Deutsch,,3,Yes,01.10.2026 21:00-22:40 @ KINOKONI 1 | 03.10.2026 18:15-19:55 @ Corso 2 | 30.09.2026 21:15-23:20 @ Arthouse Le Paris,,0,Joseph Brutsman,"Jamal Johnson, Chelsea Bellas, Jon Jacobs, Zackary Peck","Crime, Thriller",2020,"""EUROTRASH"" is an edgy, chilling, and hysterical tale of a home invasion, where a once wealthy and powerful American family falls prey to perhaps The Greatest Con Man in all of London.",N/A,https://www.imdb.com/find?q=EUROTRASH&s=tt
FRAU WINKLER VERLäSST DAS HAUS,108.0,Gala Premieren,Deutsch,en,3,Yes,01.10.2026 18:30-20:23 @ Corso 2 | 27.09.2026 18:00-20:18 @ Arthouse Le Paris | 30.09.2026 15:15-17:08 @ Corso 2,,0,Doris Dörrie,"Angela Winkler, Laura Tonke, Josef Ellers",Drama,2026,N/A,N/A,https://www.imdb.com/find?q=FRAU%20WINKLER%20VERL%C3%A4SST%20DAS%20HAUS&s=tt
I PLAY ROCKY,128.0,Gala Premieren,Englisch,"de, fr",3,Yes,02.10.2026 18:30-20:43 @ Kongresssaal | 04.10.2026 20:45-22:58 @ Kongresssaal | 25.09.2026 18:00-20:28 @ Kongresssaal,,0,Peter Farrelly,"AnnaSophia Robb, Toby Kebbell, Matt Dillon","Biography, Drama",2026,A failing actor writes the ultimate underdog story and must fight for his chance to play the role of a lifetime - Rocky Balboa.,N/A,https://www.imdb.com/find?q=I%20PLAY%20ROCKY&s=tt
INK,116.0,Gala Premieren,Englisch,"de, fr",3,Yes,01.10.2026 20:15-22:16 @ Kongresssaal | 03.10.2026 21:00-23:01 @ Corso 1 | 29.09.2026 21:00-23:11 @ Kongresssaal,,57,Brian D. Johnson,"Jason S. Logan, Koji Kakinuma, Roxx",Documentary,2022,"Toronto inkmaker Jason S. Logan harvests colours from the wild-weeds, berries, bark, flowers, rocks, rust-and sends custom-made inks to artists around the world, from a New Yorker cartoonist to a Tokyo calligrapher.",2 wins & 1 nomination,https://www.imdb.com/find?q=INK&s=tt
