Film,Film Länge (Min),Sektion,Sprache,Untertitel,Screening Count,Has Evening/Weekend Screening,Screenings,IMDb Rating,IMDb Votes,Director,Stars,Genre,First Release Year,Plot,Awards,IMDb Search Link
NOT A HERO,98.0,ZFF für Kinder,"Assamesisch, Hindi, Englisch, Deutsch live eingesprochen",,2,Yes,04.10.2026 12:00-13:43 @ KINOKONI 3 | 26.09.2026 15:45-17:28 @ Arena 3,,0,Rima Das,"Sukanya Boruah, Bhuman Bhargav Das, Mrinmoy Das",Drama,2026,"A city boy moves to his village, where his bitter aunt lives. He makes friends with a horse and local children, embarking on adventures that reveal life's wonders and his own bravery.",1 nomination total,https://www.imdb.com/find?q=NOT%20A%20HERO&s=tt
AVIVA UND DIE WURZELN DER MAGIE,,ZFF für Kinder,Deutsch,,1,Yes,27.09.2026 13:30-14:30 @ Corso 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=AVIVA%20UND%20DIE%20WURZELN%20DER%20MAGIE&s=tt
BEFORE MIDNIGHT,109.0,Retrospektive: Richard Linklater,Französisch,de,1,Yes,04.10.2026 20:15-22:09 @ Filmpodium,,0,"Anne Gregson, Michael Peacocks, Harry Pole","Lucy Marshall, Steve Baxton, Kyle Stowell, Avery Harmon",Drama,2016,N/A,N/A,https://www.imdb.com/find?q=BEFORE%20MIDNIGHT&s=tt
BEFORE SUNSET,80.0,Retrospektive: Richard Linklater,Englisch,"de, fr",1,No,01.10.2026 15:00-16:25 @ Filmpodium,,18,Hiroshi Akabane,"Evan Bittencourt, Mirai Irako, Peter Mendoza","Drama, Fantasy",2023,"A man known as the 'God of Management' who has established a successful business and earned the respect of society, but after retirement finds himself alone and lonely in a nursing home.",N/A,https://www.imdb.com/find?q=BEFORE%20SUNSET&s=tt
BERNIE,104.0,Retrospektive: Richard Linklater,,,1,Yes,01.10.2026 20:45-22:34 @ Filmpodium,,52,Alicia J. Rose,"Alicia Jo Rabins, Robin McAlpine, Judy Silk",Biography,2021,"A hybrid of memoir docudrama and narrative fantasy, A KADDISH FOR BERNIE MADOFF tells the story of Madoff and the system that allowed him to function for decades through the eyes of musician/poet Alicia Jo Rabins, who watches the financial crash from her 9th floor studio in an abandoned office building on Wall Street. Fueled by her growing obsession, real-life interviews transform into music videos, ancient spiritual texts become fevered fantasies of synchronized swimming, and a vivid, vulnerable work of art is born from the unique perspective of an artist watching the global financial collapse up close.",1 nomination,https://www.imdb.com/find?q=BERNIE&s=tt
DAZED AND CONFUSED,102.0,Retrospektive: Richard Linklater,Englisch,de,1,Yes,25.09.2026 20:45-22:32 @ Filmpodium,,0,Yumeng Zhang,"Yash Karani, Luiza Prolla","Short, Drama",2017,A man goes to a bar but runs into trouble when his brother is shot,N/A,https://www.imdb.com/find?q=DAZED%20AND%20CONFUSED&s=tt
GEWINNER SCREENING AUDIENCE AWARD,,,TBD,,1,Yes,04.10.2026 15:00-16:35 @ KINOKONI 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=GEWINNER%20SCREENING%20AUDIENCE%20AWARD&s=tt
GEWINNER SCREENING DOCUMENTARY COMPETITION,,,TBD,,1,Yes,04.10.2026 20:15-21:50 @ KINOKONI 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=GEWINNER%20SCREENING%20DOCUMENTARY%20COMPETITION&s=tt
GEWINNER SCREENING FEATURE FILM COMPETITION,,,TBD,,1,Yes,04.10.2026 17:30-19:05 @ KINOKONI 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=GEWINNER%20SCREENING%20FEATURE%20FILM%20COMPETITION&s=tt
Genuss Film Isabel | IGNIV,85.0,ZFF Genuss Film,Portugiesisch,en,1,Yes,02.10.2026 18:15-19:45 @ Arena 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=Genuss%20Film%20Isabel%20%7C%20IGNIV&s=tt
Genuss Film Nobu | The Japanese,110.0,ZFF Genuss Film,Englisch,,1,Yes,01.10.2026 18:00-19:50 @ Arena 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=Genuss%20Film%20Nobu%20%7C%20The%20Japanese&s=tt
Genuss Film Noor: Cocinar Pasados Posibles | The Chedi Andermatt,110.0,ZFF Genuss Film,Spanisch,en,1,Yes,30.09.2026 18:15-20:05 @ Arena 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=Genuss%20Film%20Noor%3A%20Cocinar%20Pasados%20Posibles%20%7C%20The%20Chedi%20Andermatt&s=tt
